home_team,game_date,events,hit_location,bb_type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value
ATL,2023-04-24,43,"{2: 23, 8: 5, 7: 2, 6: 1, 5: 1}","{'fly_ball': 6, 'ground_ball': 5, 'line_drive': 3}","{Interval(90.0, 100.0, closed='right'): 6, Interval(100.0, 110.0, closed='right'): 4, Interval(110.0, inf, closed='right'): 2, Interval(0.0, 80.0, closed='right'): 1, Interval(80.0, 90.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 8, Interval(0.0, 15.0, closed='right'): 4, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6745,0.412126,23.35,9,18
ATL,2023-04-25,43,"{2: 18, 7: 5, 9: 4, 8: 3, 5: 2, 3: 1}","{'line_drive': 9, 'fly_ball': 6, 'ground_ball': 5}","{Interval(100.0, 110.0, closed='right'): 9, Interval(90.0, 100.0, closed='right'): 6, Interval(0.0, 80.0, closed='right'): 4, Interval(80.0, 90.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 0}","{Interval(15.0, 45.0, closed='right'): 12, Interval(0.0, 15.0, closed='right'): 6, Interval(-90.0, -15.0, closed='right'): 1, Interval(-15.0, 0.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5595,0.40096546511627906,28.05,15,18
ATL,2023-04-26,36,"{2: 15, 7: 5, 9: 3, 5: 1}","{'ground_ball': 5, 'fly_ball': 5, 'line_drive': 4}","{Interval(100.0, 110.0, closed='right'): 6, Interval(110.0, inf, closed='right'): 3, Interval(0.0, 80.0, closed='right'): 2, Interval(90.0, 100.0, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 7, Interval(-15.0, 0.0, closed='right'): 3, Interval(0.0, 15.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5561428571428572,0.46103669444444445,24.4,9,19
ATL,2023-04-27,45,"{2: 24, 7: 7, 9: 4, 8: 2, 5: 1, 6: 1, 4: 1}","{'line_drive': 9, 'ground_ball': 7}","{Interval(90.0, 100.0, closed='right'): 6, Interval(100.0, 110.0, closed='right'): 6, Interval(0.0, 80.0, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 9, Interval(-15.0, 0.0, closed='right'): 3, Interval(15.0, 45.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5535625,0.2689892222222222,18.6,16,2
ATL,2023-05-05,45,"{2: 16, 8: 5, 7: 4, 9: 4, 1: 2, 5: 2, 6: 1, 3: 1}","{'ground_ball': 10, 'line_drive': 10, 'fly_ball': 3}","{Interval(0.0, 80.0, closed='right'): 7, Interval(100.0, 110.0, closed='right'): 7, Interval(90.0, 100.0, closed='right'): 6, Interval(110.0, inf, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 7, Interval(15.0, 45.0, closed='right'): 7, Interval(-90.0, -15.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 4, Interval(45.0, inf, closed='right'): 0}",0.5615652173913044,0.43976484444444447,30.349999999999998,19,15
ATL,2023-05-06,42,"{2: 21, 8: 7, 7: 4, 9: 3, 5: 1}","{'line_drive': 8, 'ground_ball': 5, 'fly_ball': 4}","{Interval(0.0, 80.0, closed='right'): 6, Interval(100.0, 110.0, closed='right'): 6, Interval(90.0, 100.0, closed='right'): 3, Interval(80.0, 90.0, closed='right'): 1, Interval(110.0, inf, closed='right'): 1}","{Interval(15.0, 45.0, closed='right'): 9, Interval(0.0, 15.0, closed='right'): 5, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.5445882352941176,0.3123002857142857,22.05,15,11
ATL,2023-05-07,38,"{2: 22, 9: 5, 8: 1, 3: 1, 4: 1}","{'line_drive': 5, 'fly_ball': 2, 'ground_ball': 2}","{Interval(100.0, 110.0, closed='right'): 8, Interval(90.0, 100.0, closed='right'): 1, Interval(0.0, 80.0, closed='right'): 0, Interval(80.0, 90.0, closed='right'): 0, Interval(110.0, inf, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 4, Interval(15.0, 45.0, closed='right'): 3, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6794444444444445,0.3207452894736842,15.5,8,7
ATL,2023-05-09,47,"{2: 18, 8: 8, 7: 7, 6: 1, 9: 1}","{'line_drive': 10, 'ground_ball': 6, 'fly_ball': 4}","{Interval(100.0, 110.0, closed='right'): 11, Interval(90.0, 100.0, closed='right'): 6, Interval(0.0, 80.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 1, Interval(80.0, 90.0, closed='right'): 0}","{Interval(0.0, 15.0, closed='right'): 11, Interval(15.0, 45.0, closed='right'): 7, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.602,0.423641,28.25,18,11
ATL,2023-05-10,43,"{2: 22, 9: 5, 7: 3, 8: 3, 5: 2}","{'ground_ball': 8, 'line_drive': 4, 'fly_ball': 3}","{Interval(90.0, 100.0, closed='right'): 5, Interval(100.0, 110.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 3, Interval(110.0, inf, closed='right'): 2, Interval(80.0, 90.0, closed='right'): 1}","{Interval(0.0, 15.0, closed='right'): 7, Interval(15.0, 45.0, closed='right'): 4, Interval(-15.0, 0.0, closed='right'): 3, Interval(-90.0, -15.0, closed='right'): 1, Interval(45.0, inf, closed='right'): 0}",0.5826,0.352126,20.95,13,9
ATL,2023-05-19,35,"{2: 14, 9: 9, 8: 5, 7: 3, 5: 1}","{'line_drive': 12, 'fly_ball': 4, 'ground_ball': 3}","{Interval(90.0, 100.0, closed='right'): 7, Interval(80.0, 90.0, closed='right'): 4, Interval(100.0, 110.0, closed='right'): 4, Interval(0.0, 80.0, closed='right'): 2, Interval(110.0, inf, closed='right'): 2}","{Interval(0.0, 15.0, closed='right'): 9, Interval(15.0, 45.0, closed='right'): 8, Interval(-15.0, 0.0, closed='right'): 2, Interval(-90.0, -15.0, closed='right'): 0, Interval(45.0, inf, closed='right'): 0}",0.6429473684210526,0.4141658857142857,21.0,18,7
