season,game_date,home_team,away_team,pitch_type_counts,speed_bucket_counts,avg_release_speed,max_release_speed,total_pitches
2023,2023-08-26,SEA,KC,"{'FF': 102, 'SL': 62, 'CH': 51, 'ST': 28, 'SI': 17, 'FA': 14, 'FS': 13, 'FC': 7, 'CU': 6, 'KC': 2}","{'80-90': 151, '90-100': 119, '<80': 32}",88.12450331125828,97.9,302
2023,2023-08-26,SF,ATL,"{'FF': 93, 'SL': 42, 'SI': 41, 'CU': 35, 'ST': 33, 'CH': 29, 'FC': 19, 'FS': 9}","{'90-100': 138, '80-90': 114, '<80': 49}",87.78039867109635,96.7,301
2023,2023-08-26,TB,NYY,"{'SL': 58, 'FF': 55, 'FC': 49, 'ST': 23, 'KC': 22, 'SI': 20, 'CH': 18, 'CU': 11}","{'90-100': 150, '80-90': 102, '<80': 4}",90.1265625,99.3,256
2023,2023-08-26,TOR,CLE,"{'FF': 105, 'CH': 50, 'CU': 47, 'FC': 34, 'SI': 14, 'SL': 9, 'ST': 8, 'FS': 2, 'PO': 1}","{'80-90': 129, '90-100': 96, '<80': 45}",86.17407407407407,97.1,270
2023,2023-08-27,AZ,CIN,"{'FF': 92, 'SL': 64, 'FC': 52, 'SI': 18, 'CU': 13, 'FS': 9, 'ST': 8, 'CH': 7}","{'90-100': 158, '80-90': 90, '<80': 15}",90.0551330798479,96.4,263
2023,2023-08-27,BAL,COL,"{'SI': 81, 'FF': 52, 'FC': 39, 'CH': 25, 'KC': 15, 'SL': 13, 'ST': 10, 'CU': 2}","{'80-90': 111, '90-100': 101, '<80': 25}",88.44261603375529,98.0,237
2023,2023-08-27,BOS,LAD,"{'FF': 77, 'SI': 68, 'SL': 63, 'FC': 37, 'CH': 29, 'CU': 20, 'ST': 13, 'FS': 5}","{'90-100': 173, '80-90': 113, '<80': 26}",89.08589743589744,97.9,312
2023,2023-08-27,CWS,OAK,"{'FF': 109, 'SL': 79, 'CH': 34, 'SI': 31, 'FC': 25, 'CU': 12}","{'90-100': 144, '80-90': 112, '<80': 34}",88.10724137931034,97.3,290
2023,2023-08-27,DET,HOU,"{'FF': 144, 'SL': 81, 'FA': 43, 'CH': 26, 'CU': 24, 'SI': 17, 'FC': 14, 'ST': 11, 'FS': 5}","{'90-100': 157, '80-90': 122, '<80': 86}",85.92246575342466,98.3,365
2023,2023-08-27,MIA,WSH,"{'FF': 84, 'SL': 63, 'SI': 58, 'CH': 18, 'ST': 9, 'CU': 8, 'FS': 7}","{'80-90': 142, '90-100': 97, '<80': 8}",88.38825910931175,98.0,247
2023,2023-08-27,MIL,SD,"{'FF': 92, 'SI': 89, 'CH': 55, 'FC': 36, 'CU': 22, 'ST': 16, 'SL': 9, 'KC': 5, 'FS': 1}","{'90-100': 162, '80-90': 109, '<80': 34, '100+': 20}",89.19292307692308,101.1,325
2023,2023-08-27,MIN,TEX,"{'FF': 133, 'SI': 87, 'CH': 82, 'SL': 73, 'FC': 28, 'CU': 27, 'FS': 6, 'ST': 3}","{'80-90': 212, '90-100': 187, '<80': 25, '100+': 15}",89.07061503416857,103.3,439
2023,2023-08-27,NYM,LAA,"{'FF': 100, 'SL': 48, 'CH': 41, 'SI': 40, 'CU': 20, 'ST': 6}","{'90-100': 146, '80-90': 94, '<80': 15}",89.75372549019608,98.5,255
2023,2023-08-27,PHI,STL,"{'FF': 110, 'SI': 49, 'KC': 31, 'ST': 25, 'FC': 22, 'CH': 18, 'FS': 14, 'CU': 2}","{'90-100': 145, '80-90': 83, '<80': 43}",88.68487084870848,98.7,271
2023,2023-08-27,PIT,CHC,"{'FF': 82, 'SL': 68, 'SI': 43, 'ST': 34, 'FC': 33, 'CU': 22, 'CH': 11, 'FS': 4}","{'80-90': 140, '90-100': 128, '<80': 29}",87.82121212121213,96.4,297
2023,2023-08-27,SEA,KC,"{'FF': 103, 'SI': 42, 'SL': 39, 'ST': 31, 'CH': 24, 'FC': 14, 'CU': 10}","{'90-100': 152, '80-90': 109, '<80': 2}",91.00532319391635,99.7,263
2023,2023-08-27,SF,ATL,"{'FF': 73, 'ST': 59, 'SL': 58, 'SI': 39, 'CH': 30, 'FC': 26, 'CU': 5}","{'80-90': 158, '90-100': 112, '<80': 19, '100+': 1}",87.31655172413792,100.4,290
2023,2023-08-27,TB,NYY,"{'SL': 90, 'FF': 81, 'SI': 42, 'CH': 23, 'ST': 22, 'FS': 12, 'FC': 11, 'CU': 2}","{'90-100': 137, '80-90': 135, '<80': 11}",90.00459363957597,98.2,283
2023,2023-08-27,TOR,CLE,"{'FF': 129, 'SL': 104, 'SI': 57, 'CU': 37, 'FC': 25, 'CH': 20, 'FS': 4}","{'90-100': 207, '80-90': 148, '<80': 20, '100+': 1}",90.41090425531915,100.0,376
2023,2023-08-28,BAL,CWS,"{'FF': 139, 'CH': 60, 'SL': 40, 'ST': 29, 'SI': 17, 'CU': 16, 'FS': 2}","{'90-100': 141, '80-90': 127, '<80': 30, '100+': 5}",89.33861386138614,100.7,303
